AttGlow, DefGlow, AttSkill, DefSkill, Total, OnTarget, Dodges, Hits
1.2000000000000002, 1.0, 9, 8, 10000, 9008, 574, 8434
1.2000000000000002, 1.1, 0, 13, 10000, 5821, 907, 4914
1.2000000000000002, 1.2000000000000002, 16, 10, 10000, 9936, 1396, 8540
0.8, 0.8, 17, 17, 10000, 6939, 1336, 5603
0.8, 0.9, 12, 6, 10000, 6463, 379, 6084
0.8, 1.0, 7, 11, 10000, 5616, 929, 4687
0.8, 1.1, 20, 19, 10000, 7152, 2672, 4480
0.8, 1.2000000000000002, 8, 16, 10000, 5787, 2175, 3612
0.9, 0.8, 7, 2, 10000, 6318, 101, 6217
0.9, 0.9, 10, 18, 10000, 7002, 1561, 5441
0.9, 1.0, 10, 12, 10000, 7032, 1185, 5847
0.9, 1.1, 19, 19, 10000, 7907, 2840, 5067
0.9, 1.2000000000000002, 9, 11, 10000, 6809, 1363, 5446
1.0, 0.8, 11, 10, 10000, 7939, 588, 7351
1.0, 0.9, 13, 9, 10000, 8210, 642, 7568
1.0, 1.0, 1, 17, 10000, 5281, 1296, 3985
1.0, 1.1, 20, 17, 10000, 8921, 2497, 6424
1.0, 1.2000000000000002, 16, 3, 10000, 8606, 357, 8249
1.1, 0.8, 19, 5, 10000, 9712, 255, 9457
1.1, 0.9, 3, 13, 10000, 6501, 799, 5702
1.1, 1.0, 0, 4, 10000, 5380, 181, 5199
1.1, 1.1, 2, 17, 10000, 6106, 1675, 4431
1.1, 1.2000000000000002, 14, 19, 10000, 9186, 3129, 6057
1.2000000000000002, 0.8, 16, 1, 10000, 9942, 82, 9860
1.2000000000000002, 0.9, 10, 4, 10000, 9318, 233, 9085
1.2000000000000002, 1.0, 18, 6, 10000, 9985, 407, 9578
1.2000000000000002, 1.1, 9, 8, 10000, 9064, 766, 8298
1.2000000000000002, 1.2000000000000002, 17, 16, 10000, 9953, 2684, 7269
